n,command,mean,stddev,median,user,system,min,max
450000,../project < in.txt,0.12748418640608697,0.0015575310007012728,0.12700558258,0.11780948260869564,0.009621770434782607,0.12671949658,0.13311363258
460000,../project < in.txt,0.1299210542018182,0.00038272611253422717,0.12978771851999998,0.11847808545454547,0.011368808181818185,0.12948458152,0.13073251452
470000,../project < in.txt,0.13284947435636363,0.0013347785954126862,0.13236595571999998,0.12107614727272722,0.011694621818181818,0.13212720572,0.13828240272
480000,../project < in.txt,0.13667835264952383,0.003709718959702223,0.13551308784000002,0.12512678666666668,0.011471940000000002,0.13511652984,0.15209283784
490000,../project < in.txt,0.13807687043619044,0.0003490016442187091,0.13802182196,0.12558904285714284,0.012402846666666665,0.13773828796,0.13906110796
500000,../project < in.txt,0.14077744776,0.0005519724056332217,0.14062380976,0.12843287,0.01226098,0.14029965876,0.14270991976
510000,../project < in.txt,0.14375877533,0.0006785339772612622,0.14351197858000003,0.13274591000000002,0.010937901999999998,0.14320854058000002,0.14609804558000003
520000,../project < in.txt,0.14673823809000003,0.0009360889541586754,0.14637745134,0.13369037,0.012952109999999998,0.14589944334,0.14943597734
530000,../project < in.txt,0.15552508334421056,0.000612291511089111,0.15528318166000002,0.13964932736842103,0.015771693684210525,0.15488503366,0.15707975766
540000,../project < in.txt,0.15800637061777775,0.00040264257390377827,0.15786599984,0.14258841111111115,0.015282133333333336,0.15755894534,0.15907231034
550000,../project < in.txt,0.16113898739058824,0.0020732569619578397,0.16050283892000003,0.14097875529411766,0.020060943529411766,0.16002653092000002,0.16741906892000002
560000,../project < in.txt,0.16346923747555556,0.0009810364650407741,0.16308646742,0.1483443022222222,0.015012153333333333,0.16273845842,0.16622681942
570000,../project < in.txt,0.16682100147647055,0.0017936031350803418,0.1659625713,0.15268082588235293,0.014039103529411765,0.1655425663,0.1715718483
580000,../project < in.txt,0.1686393533082353,0.0006770287670265636,0.16844037072,0.15435286823529412,0.014171397647058822,0.16799059372,0.17037936472
